Unnamed: 0,raw_data,date,price,percent,district,small_district
1333,"2020年03月房价
48395元/㎡
1.34%↑
罗湖
huangbeiling",2020年03月房价,48395元/㎡,1.34%↑,罗湖,huangbeiling
1334,"2020年04月房价
49435元/㎡
2.15%↑
罗湖
huangbeiling",2020年04月房价,49435元/㎡,2.15%↑,罗湖,huangbeiling
1335,"2020年05月房价
49422元/㎡
0.03%↓
罗湖
huangbeiling",2020年05月房价,49422元/㎡,0.03%↓,罗湖,huangbeiling
1336,"2020年06月房价
49499元/㎡
0.16%↑
罗湖
huangbeiling",2020年06月房价,49499元/㎡,0.16%↑,罗湖,huangbeiling
1337,"2020年07月房价
50342元/㎡
1.7%↑
罗湖
huangbeiling",2020年07月房价,50342元/㎡,1.7%↑,罗湖,huangbeiling
1338,"2020年08月房价
51120元/㎡
1.55%↑
罗湖
huangbeiling",2020年08月房价,51120元/㎡,1.55%↑,罗湖,huangbeiling
1339,"2020年09月房价
51394元/㎡
0.54%↑
罗湖
huangbeiling",2020年09月房价,51394元/㎡,0.54%↑,罗湖,huangbeiling
1340,"2020年10月房价
52820元/㎡
2.78%↑
罗湖
huangbeiling",2020年10月房价,52820元/㎡,2.78%↑,罗湖,huangbeiling
1341,"2020年11月房价
53216元/㎡
0.75%↑
罗湖
huangbeiling",2020年11月房价,53216元/㎡,0.75%↑,罗湖,huangbeiling
1342,"2017年01月房价
45550元/㎡
0.06%↑
罗湖
sungang",2017年01月房价,45550元/㎡,0.06%↑,罗湖,sungang
1343,"2017年02月房价
45238元/㎡
0.68%↓
罗湖
sungang",2017年02月房价,45238元/㎡,0.68%↓,罗湖,sungang
1344,"2017年03月房价
43046元/㎡
4.85%↓
罗湖
sungang",2017年03月房价,43046元/㎡,4.85%↓,罗湖,sungang
1345,"2017年04月房价
42983元/㎡
0.15%↓
罗湖
sungang",2017年04月房价,42983元/㎡,0.15%↓,罗湖,sungang
